Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, Start of Correction Region, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,quadratic,linear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,linear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,linear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,linear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,linear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,quadratic,slinear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,quadratic,slinear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,slinear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,slinear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,slinear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,slinear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,quadratic,slinear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,quadratic,slinear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,slinear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,slinear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,slinear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,slinear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,quadratic,slinear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,quadratic,slinear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,slinear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,slinear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,slinear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,slinear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
