Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,quadratic,quadratic,odd,none,False,0.588283968716,0.566055340456,0.645449399966,0.455685679052
False,none,none,quadratic,quadratic,odd,none,True,0.572312490662,0.564154657826,0.655963324792,0.450650367127
False,none,none,quadratic,quadratic,odd,even,False,0.597095901736,0.566450068459,0.645164630062,0.458558920334
False,none,none,quadratic,quadratic,odd,even,True,0.580919809128,0.564550240953,0.655681838361,0.453494464964
False,none,none,quadratic,quadratic,odd,odd,False,0.581476135558,0.565953841269,0.644933473109,0.452601882605
False,none,none,quadratic,quadratic,odd,odd,True,0.565692980946,0.564050087596,0.655433951532,0.447597484566
False,none,none,quadratic,cubic,none,none,False,0.588178821859,0.566034530085,0.645500431829,0.45567311057
False,none,none,quadratic,cubic,none,none,True,0.572211611336,0.564133966773,0.65601491203,0.450638112401
False,none,none,quadratic,cubic,none,even,False,0.597178983349,0.566448438869,0.645301426368,0.458615566611
False,none,none,quadratic,cubic,none,even,True,0.580999387992,0.564548533098,0.655820991814,0.453550286594
False,none,none,quadratic,cubic,none,odd,False,0.581411371188,0.566246790155,0.644928985983,0.452734491815
False,none,none,quadratic,cubic,none,odd,True,0.565630433283,0.56434224779,0.655429705709,0.447728439591
False,none,none,quadratic,cubic,even,none,False,0.588178821859,0.566034530085,0.645500431829,0.45567311057
False,none,none,quadratic,cubic,even,none,True,0.572211611336,0.564133966773,0.65601491203,0.450638112401
False,none,none,quadratic,cubic,even,even,False,0.597178983349,0.566448438869,0.645301426368,0.458615566611
False,none,none,quadratic,cubic,even,even,True,0.580999387992,0.564548533098,0.655820991814,0.453550286594
False,none,none,quadratic,cubic,even,odd,False,0.581411371188,0.566246790155,0.644928985983,0.452734491815
False,none,none,quadratic,cubic,even,odd,True,0.565630433283,0.56434224779,0.655429705709,0.447728439591
False,none,none,quadratic,cubic,odd,none,False,0.588178821859,0.566034530085,0.645500431829,0.45567311057
False,none,none,quadratic,cubic,odd,none,True,0.572211611336,0.564133966773,0.65601491203,0.450638112401
False,none,none,quadratic,cubic,odd,even,False,0.597178983349,0.566448438869,0.645301426368,0.458615566611
